Rank,Error Message,Snippet IDs
3,"extraneous input '(' expecting {'from', 'error', 'function', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', 'callback', Int, Uint, Byte, Fixed, Ufixed, 'leave', 'payable', 'constructor', 'receive', Identifier, NL}","['47596_0', '64042_0', '142644_0']"
3,mismatched input '.' expecting ')',"['48144_2', '122055_0', '140788_4']"
3,"mismatched input 'storage' expecting {'from', 'error', 'calldata', 'revert', 'callback', 'override', 'constant', 'immutable', 'leave', 'internal', 'payable', 'private', 'public', 'constructor', 'receive', Identifier, NL}","['51965_0', '114287_0', '114287_1']"
3,"extraneous input 'function' expecting {'~', 'from', ',', '(', ')', 'error', '[', 'address', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'leave', 'payable', 'type', 'constructor', 'receive', Identifier, StringLiteralFragment, NL}","['54855_2', '63617_0', '64042_0']"
3,"extraneous input '>' expecting {<EOF>, 'pragma', '~', 'import', 'from', '{', '}', 'abstract', 'contract', 'interface', 'library', '(', 'error', 'using', 'for', 'struct', 'modifier', 'function', 'event', 'enum', '[', 'address', 'mapping', 'calldata', 'if', 'else', 'try', 'while', 'unchecked', 'assembly', 'do', 'return', 'throw', 'emit', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'break', 'continue', 'leave', 'payable', 'type', 'constructor', 'fallback', 'receive', Identifier, StringLiteralFragment, NL}","['55067_0', '110647_0', '127880_0']"
3,"extraneous input '>' expecting {<EOF>, 'pragma', '~', 'import', 'from', '{', '}', 'abstract', 'contract', 'interface', 'library', '(', 'error', 'using', 'for', 'struct', 'modifier', 'function', 'event', 'enum', '[', 'address', 'mapping', 'calldata', 'if', 'else', 'try', 'while', 'unchecked', 'assembly', 'do', 'return', 'throw', 'emit', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'break', 'continue', 'leave', 'payable', 'type', 'constructor', 'fallback', 'receive', Identifier, StringLiteralFragment}","['55067_0', '110647_0', '127880_0']"
3,"mismatched input '^' expecting {'from', 'error', 'calldata', 'revert', 'callback', 'leave', 'payable', 'constructor', 'receive', Identifier, NL}","['57110_1', '91580_0', '91654_0']"
3,"mismatched input 'some' expecting {'=', ';', NL}","['57107_1', '57107_2', '92502_1']"
3,"mismatched input '.' expecting {'from', 'error', 'calldata', 'revert', 'callback', 'leave', 'payable', 'constructor', 'receive', Identifier}","['57107_1', '57107_2', '86704_0']"
3,"mismatched input '=' expecting {'{', 'returns', ';', NL}","['57321_0', '117358_0', '142090_0']"
3,"mismatched input '*' expecting {'=', ';', NL}","['57321_0', '101882_0', '118509_0']"
3,"mismatched input 'eth_utils' expecting {StringLiteralFragment, NL}","['57840_5', '91492_5', '137411_5']"
3,"extraneous input 'static' expecting {<EOF>, 'pragma', 'import', 'from', 'abstract', 'contract', 'interface', 'library', 'error', 'using', 'struct', 'modifier', 'function', 'event', 'enum', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', 'callback', Int, Uint, Byte, Fixed, Ufixed, 'leave', 'payable', 'constructor', 'fallback', 'receive', Identifier}","['57840_7', '91492_7', '137411_7']"
3,"extraneous input '<' expecting {<EOF>, 'pragma', 'import', 'from', '}', 'abstract', 'contract', 'interface', 'library', 'error', 'using', 'struct', 'modifier', 'function', 'event', 'enum', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', 'callback', Int, Uint, Byte, Fixed, Ufixed, 'leave', 'payable', 'constructor', 'fallback', 'receive', Identifier}","['58984_0', '103461_0', '132050_0']"
3,"extraneous input 'of' expecting {'from', 'error', 'calldata', 'revert', 'callback', 'override', 'constant', 'immutable', 'leave', 'internal', 'payable', 'private', 'public', 'constructor', 'receive', Identifier}","['59924_0', '78837_0', '92502_1']"
3,"mismatched input ':' expecting {'from', 'error', 'calldata', 'revert', 'callback', 'override', 'constant', 'immutable', 'leave', 'internal', 'payable', 'private', 'public', 'constructor', 'receive', Identifier}","['60555_1', '82866_1', '114715_0']"
3,no viable alternative at input 'Invalidtype',"['66495_1', '73475_1', '141395_0']"
3,"mismatched input ')' expecting {'from', 'error', 'memory', 'storage', 'calldata', 'revert', 'callback', 'leave', 'payable', 'constructor', 'receive', Identifier}","['72441_0', '121945_1', '127842_0']"
3,"mismatched input ',' expecting {'{', 'returns', ';', NL}","['73105_0', '94855_0', '107019_0']"
3,"mismatched input 'can' expecting {'=', ';', NL}","['78837_0', '107019_0', '130706_0']"
3,"no viable alternative at input 'functionviewLocation(uint_productID,uint_location)publicreturns(struct'","['82157_0', '82157_2', '82157_3']"
3,no viable alternative at input 'VMerror:',"['82325_1', '93698_1', '131344_1']"
3,"mismatched input 'transfer' expecting {'=', ';', NL}","['83515_0', '83515_1', '103618_0']"
3,"extraneous input ';' expecting {'from', 'error', 'function', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', 'callback', Int, Uint, Byte, Fixed, Ufixed, 'leave', 'payable', 'constructor', 'receive', Identifier, NL}","['89981_0', '96960_0', '147387_0']"
3,no viable alternative at input 'Panoramixv4Oct',"['91235_0', '96659_0', '122407_0']"
3,no viable alternative at input 'CompileError:',"['91280_0', '91453_1', '93536_1']"
3,"mismatched input '<EOF>' expecting {'~', 'from', '(', 'error', '[', 'address', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'leave', 'payable', 'type', 'constructor', 'receive', Identifier, StringLiteralFragment}","['91818_0', '109813_0', '132243_1']"
3,"mismatched input 'Should' expecting {';', NL}","['92365_0', '97457_0', '114027_1']"
3,no viable alternative at input 'Constants\n\nFeeis',"['97782_1', '98622_1', '99097_1']"
3,no viable alternative at input 'Compilingcontracts.',"['101542_0', '118202_4', '122086_0']"
3,"extraneous input 'if' expecting {<EOF>, 'pragma', 'import', 'from', 'abstract', 'contract', 'interface', 'library', 'error', 'using', 'struct', 'modifier', 'function', 'event', 'enum', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', 'callback', Int, Uint, Byte, Fixed, Ufixed, 'leave', 'payable', 'constructor', 'fallback', 'receive', Identifier}","['103608_0', '124918_0', '125591_0']"
3,"extraneous input '^' expecting {'~', 'from', '(', 'error', '[', 'address', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'leave', 'payable', 'type', 'constructor', 'receive', Identifier, StringLiteralFragment, NL}","['109813_0', '110818_0', '110839_0']"
3,"extraneous input ':' expecting {'=', ';', NL}","['114027_1', '123657_2', '130892_1']"
3,no viable alternative at input 'PSE:',"['115282_0', '131590_0', '131985_2']"
3,no viable alternative at input '-->',"['119476_1', '129112_2', '139408_1']"
3,"mismatched input 'private' expecting {'from', 'error', 'memory', 'storage', 'calldata', 'revert', 'callback', 'leave', 'payable', 'constructor', 'receive', Identifier}","['120181_0', '125155_1', '133013_0']"
3,"mismatched input 'name' expecting {',', ']'}","['120486_0', '131454_0', '131454_1']"
3,"mismatched input 'requestData' expecting {';', NL}","['120486_0', '131454_0', '131454_1']"
3,no viable alternative at input 'encode_data[type=ethabiencode\nabi',"['120486_0', '131454_0', '131454_1']"
3,no viable alternative at input 'ethabiencode\nabi',"['120486_0', '131454_0', '131454_1']"
3,no viable alternative at input 'encode_tx[type=ethabiencode\nabi',"['120486_0', '131454_0', '131454_1']"
3,no viable alternative at input 'submit_tx[type=ethtxto',"['120486_0', '131454_0', '131454_1']"
3,"mismatched input 'balance' expecting {'=', ';', NL}","['123657_2', '133231_2', '137414_1']"
3,no viable alternative at input 'AssertionError:',"['123657_2', '128026_0', '129640_0']"
3,"mismatched input 'value' expecting {';', NL}","['123685_2', '131454_0', '131454_1']"
3,"mismatched input 'contract' expecting {'~', 'from', '(', 'error', '[', 'address', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'leave', 'payable', 'type', 'constructor', 'receive', Identifier, StringLiteralFragment, NL}","['127680_1', '127680_3', '140516_1']"
3,no viable alternative at input 'NomicLabsHardhatPluginError:',"['128026_1', '128026_4', '137980_1']"
3,"no viable alternative at input 'const{expect,'","['132640_1', '143130_1', '143211_1']"
3,"mismatched input 'should' expecting {';', NL}","['134053_0', '141790_2', '141790_3']"
2,no viable alternative at input 'bytes32v=.',"['1081_2', '1081_3']"
2,no viable alternative at input 'fromethereumimport',"['1217_1', '2397_1']"
2,"extraneous input 'contract' expecting {'{', 'is'}","['1781_2', '48447_0']"
2,"mismatched input 'type' expecting {'from', 'error', 'calldata', 'revert', 'callback', 'override', 'constant', 'immutable', 'leave', 'internal', 'payable', 'private', 'public', 'constructor', 'receive', Identifier}","['2417_2', '12600_1']"
2,"mismatched input 'test' expecting {';', NL}","['2718_2', '131173_0']"
2,"extraneous input '<EOF>' expecting {'~', 'from', '(', 'error', '[', 'address', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'leave', 'payable', 'type', 'constructor', 'receive', Identifier, StringLiteralFragment, NL}","['2718_2', '87574_0']"
2,"mismatched input 'b' expecting {';', NL}","['3703_4', '129005_0']"
2,"extraneous input '&' expecting {'~', 'from', ',', '(', ')', 'error', '[', 'address', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'leave', 'payable', 'type', 'constructor', 'receive', Identifier, StringLiteralFragment, NL}","['3703_4', '59368_0']"
2,"extraneous input 'continue' expecting {';', NL}","['3703_4', '123076_0']"
2,"extraneous input 'fallback' expecting {'~', 'from', '{', '}', '(', 'error', 'for', 'function', '[', 'address', 'mapping', 'calldata', 'if', 'try', 'while', 'unchecked', 'assembly', 'do', 'return', 'throw', 'emit', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'break', 'continue', 'leave', 'payable', 'type', 'constructor', 'receive', Identifier, StringLiteralFragment}","['5727_1', '55315_1']"
2,no viable alternative at input 'super.fallback',"['5727_1', '55315_1']"
2,no viable alternative at input 'LOG(Child):',"['5727_2', '55315_2']"
2,"no viable alternative at input 'functionvote(\nuint_proposalID,\nbool_supportsProposal\n)onlyTokenholdersnoEtherreturns(uint_voteID){\n\nProposalp=proposals[_proposalID];\nif(p.votedYes[msg.sender]\n||p.votedNo[msg.sender]\n||now>=p.votingDeadline){\n\nthrow;\n}\n'","['5861_1', '98840_1']"
2,"mismatched input 'text' expecting {'=', ';', NL}","['6241_0', '31211_0']"
2,no viable alternative at input 'msg.data(bytes):',"['6542_0', '43362_2']"
2,"extraneous input 'x' expecting {';', NL}","['6618_0', '32688_0']"
2,no viable alternative at input 'uinttimeout=now+1year',"['6795_0', '7585_0']"
2,no viable alternative at input 'structUser{\nuint256user_id;\nbytes32name;\nbytes32address',"['7317_0', '7317_1']"
2,"extraneous input '==' expecting {'from', 'error', 'calldata', 'revert', 'callback', 'override', 'constant', 'immutable', 'leave', 'internal', 'payable', 'private', 'public', 'constructor', 'receive', Identifier}","['7094_0', '121924_1']"
2,no viable alternative at input 'userKumquat:',"['7526_1', '8951_3']"
2,"extraneous input '[' expecting {<EOF>, 'pragma', 'import', 'from', '}', 'abstract', 'contract', 'interface', 'library', 'error', 'using', 'struct', 'modifier', 'function', 'event', 'enum', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', 'callback', Int, Uint, Byte, Fixed, Ufixed, 'leave', 'payable', 'constructor', 'fallback', 'receive', Identifier, NL}","['7165_0', '93701_1']"
2,"extraneous input 'contract' expecting {'from', 'error', 'calldata', 'revert', 'callback', 'override', 'constant', 'immutable', 'leave', 'internal', 'payable', 'private', 'public', 'constructor', 'receive', Identifier}","['7165_0', '103618_0']"
2,"extraneous input '=' expecting {<EOF>, 'pragma', '~', 'import', 'from', '{', '}', 'abstract', 'contract', 'interface', 'library', '(', 'error', 'using', 'for', 'struct', 'modifier', 'function', 'event', 'enum', '[', 'address', 'mapping', 'calldata', 'if', 'try', 'while', 'unchecked', 'assembly', 'do', 'return', 'throw', 'emit', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'let', '=:', 'switch', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'break', 'continue', 'leave', 'payable', 'type', 'constructor', 'fallback', 'receive', Identifier, StringLiteralFragment}","['8099_1', '17312_4']"
2,"extraneous input 'withdraw' expecting {'(', NL}","['8945_0', '134174_0']"
2,"mismatched input '\n' expecting {'{', 'is'}","['9730_0', '27777_0']"
2,no viable alternative at input 'Iota:',"['9861_3', '11030_1']"
2,"mismatched input 'null' expecting {'~', 'from', '(', 'error', '[', 'address', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'leave', 'payable', 'type', 'constructor', 'receive', Identifier, StringLiteralFragment, NL}","['10478_0', '50546_1']"
2,no viable alternative at input 'Typefunction',"['10539_1', '109696_1']"
2,"extraneous input '.' expecting {<EOF>, 'pragma', '~', 'import', 'from', '{', 'abstract', 'contract', 'interface', 'library', '(', 'error', 'using', 'for', 'struct', 'modifier', 'function', 'event', 'enum', '[', 'address', 'mapping', 'calldata', 'if', 'try', 'while', 'unchecked', 'assembly', 'do', 'return', 'throw', 'emit', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'break', 'continue', 'leave', 'payable', 'type', 'constructor', 'fallback', 'receive', Identifier, StringLiteralFragment, NL}","['10715_1', '12975_1']"
2,no viable alternative at input 'code\nPUSH60',"['10715_1', '12975_1']"
2,"mismatched input '++' expecting {'from', 'error', 'calldata', 'revert', 'callback', 'override', 'constant', 'immutable', 'leave', 'internal', 'payable', 'private', 'public', 'constructor', 'receive', Identifier}","['10981_0', '122545_0']"
2,"mismatched input 'bool' expecting {'(', NL}","['10981_1', '143262_2']"
2,"mismatched input 'uint' expecting {'(', NL}","['10981_1', '24937_0']"
2,"extraneous input ',' expecting {<EOF>, 'pragma', '~', 'import', 'from', '{', '}', 'abstract', 'contract', 'interface', 'library', '(', 'error', 'using', 'for', 'struct', 'modifier', 'function', 'event', 'enum', '[', 'address', 'mapping', 'calldata', 'if', 'else', 'try', 'while', 'unchecked', 'assembly', 'do', 'return', 'throw', 'emit', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'break', 'continue', 'leave', 'payable', 'type', 'constructor', 'fallback', 'receive', Identifier, StringLiteralFragment}","['11030_3', '12716_1']"
2,"extraneous input '>' expecting {'=', ';', NL}","['11120_0', '35071_0']"
2,no viable alternative at input 'varevent',"['11419_3', '42539_0']"
2,"mismatched input '->' expecting {';', NL}","['11974_0', '41152_1']"
2,"missing {'from', 'error', 'calldata', 'revert', 'callback', 'leave', 'payable', 'constructor', 'receive', Identifier} at '='","['11772_5', '24978_2']"
2,"extraneous input 'memory' expecting {<EOF>, 'pragma', '~', 'import', 'from', '{', '}', 'abstract', 'contract', 'interface', 'library', '(', 'error', 'using', 'for', 'struct', 'modifier', 'function', 'event', 'enum', '[', 'address', 'mapping', 'calldata', 'if', 'else', 'try', 'while', 'unchecked', 'assembly', 'do', 'return', 'throw', 'emit', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'break', 'continue', 'leave', 'payable', 'type', 'constructor', 'fallback', 'receive', Identifier, StringLiteralFragment}","['12716_1', '77459_3']"
2,"mismatched input 'THE' expecting {'=', ';', NL}","['12716_1', '122677_1']"
2,no viable alternative at input 'C:',"['12765_1', '119067_2']"
2,"extraneous input ')' expecting {'~', 'from', '{', '(', 'error', 'for', 'function', '[', 'address', 'mapping', 'calldata', 'if', 'try', 'while', 'unchecked', 'assembly', 'do', 'return', 'throw', 'emit', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'break', 'continue', 'leave', 'payable', 'type', 'constructor', 'receive', Identifier, StringLiteralFragment, NL}","['12937_0', '28013_0']"
2,"mismatched input 'ether' expecting {';', NL}","['12864_0', '52241_0']"
2,no viable alternative at input 'clusterContract[id]=',"['14017_0', '14017_1']"
2,"mismatched input 'other' expecting {'=', ';', NL}","['15323_2', '103618_0']"
2,"extraneous input 'address' expecting {'from', 'error', 'calldata', 'revert', 'callback', 'leave', 'payable', 'constructor', 'receive', Identifier, NL}","['15323_2', '110717_1']"
2,no viable alternative at input 'Couldnotfind',"['15516_0', '85397_2']"
2,no viable alternative at input '(.',"['20750_5', '91197_1']"
2,no viable alternative at input 'functiondeposit()payable{\ndeposits[msg.sender]+=msg.value;\n};',"['20874_3', '112211_3']"
2,no viable alternative at input 'function()external[payable]{',"['20874_4', '112211_4']"
2,no viable alternative at input 'Whichfunction',"['20874_5', '112211_5']"
2,no viable alternative at input 'function*',"['20874_7', '112211_7']"
2,"extraneous input 'public' expecting {<EOF>, 'pragma', 'import', 'from', 'abstract', 'contract', 'interface', 'library', 'error', 'using', 'struct', 'modifier', 'function', 'event', 'enum', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', 'callback', Int, Uint, Byte, Fixed, Ufixed, 'leave', 'payable', 'constructor', 'fallback', 'receive', Identifier}","['20875_4', '69004_0']"
2,mismatched input '=' expecting '(',"['21051_0', '142508_1']"
2,"extraneous input '<' expecting {'~', 'from', '{', '(', 'error', 'for', 'function', '[', 'address', 'mapping', 'calldata', 'if', 'try', 'while', 'unchecked', 'assembly', 'do', 'return', 'throw', 'emit', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'break', 'continue', 'leave', 'payable', 'type', 'constructor', 'receive', Identifier, StringLiteralFragment, NL}","['21031_0', '99943_0']"
2,no viable alternative at input 'uintconstant',"['21145_0', '93650_0']"
2,no viable alternative at input 'debug(development:',"['21448_2', '121396_2']"
2,"extraneous input 'is' expecting {'from', 'error', 'calldata', 'revert', 'callback', 'override', 'constant', 'immutable', 'leave', 'internal', 'payable', 'private', 'public', 'constructor', 'receive', Identifier}","['23501_1', '122959_12']"
2,"extraneous input '--' expecting {<EOF>, 'pragma', 'import', 'from', 'abstract', 'contract', 'interface', 'library', 'error', 'using', 'struct', 'modifier', 'function', 'event', 'enum', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', 'callback', Int, Uint, Byte, Fixed, Ufixed, 'leave', 'payable', 'constructor', 'fallback', 'receive', Identifier}","['23681_3', '23681_4']"
2,"extraneous input '*' expecting {'from', 'error', 'calldata', 'revert', 'callback', 'override', 'constant', 'immutable', 'leave', 'internal', 'payable', 'private', 'public', 'constructor', 'receive', Identifier}","['24937_0', '99029_0']"
2,no viable alternative at input 'entercodehere',"['26904_0', '58920_0']"
2,"extraneous input 'event' expecting {'~', 'from', '{', '}', '(', 'error', 'for', 'function', '[', 'address', 'mapping', 'calldata', 'if', 'try', 'while', 'unchecked', 'assembly', 'do', 'return', 'throw', 'emit', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'break', 'continue', 'leave', 'payable', 'type', 'constructor', 'receive', Identifier, StringLiteralFragment}","['26974_0', '30398_0']"
2,no viable alternative at input 'browser/Untitled.sol:',"['27181_1', '27186_1']"
2,no viable alternative at input 'ContractNeed{',"['26720_0', '26720_2']"
2,"extraneous input '>' expecting {'~', 'from', '(', 'error', '[', 'address', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'leave', 'payable', 'type', 'constructor', 'receive', Identifier, StringLiteralFragment, NL}","['27695_2', '145519_1']"
2,"extraneous input 'storage' expecting {'from', 'error', 'calldata', 'revert', 'callback', 'override', 'constant', 'immutable', 'leave', 'internal', 'payable', 'private', 'public', 'constructor', 'receive', Identifier}","['27776_0', '114621_0']"
2,"extraneous input '}' expecting {'=', ';', NL}","['27777_0', '50889_0']"
2,no viable alternative at input 'browser/Payroll.sol:',"['27523_1', '27662_1']"
2,"mismatched input 'storage' expecting {';', NL}","['28040_1', '116897_1']"
2,no viable alternative at input 'UncaughtError:',"['29873_1', '64392_2']"
2,"extraneous input 'struct' expecting {'from', ')', 'error', 'function', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', 'callback', Int, Uint, Byte, Fixed, Ufixed, 'leave', 'payable', 'constructor', 'receive', Identifier, NL}","['30387_0', '43658_0']"
2,no viable alternative at input 'it(clientput',"['32398_1', '32398_2']"
2,"extraneous input '?' expecting {'from', ')', 'error', 'function', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', 'callback', Int, Uint, Byte, Fixed, Ufixed, 'leave', 'payable', 'constructor', 'receive', Identifier, NL}","['34860_0', '140961_0']"
2,"extraneous input 'using' expecting {'from', 'error', 'calldata', 'revert', 'callback', 'leave', 'payable', 'constructor', 'receive', Identifier, NL}","['34842_0', '112435_0']"
2,no viable alternative at input 'functiondelete',"['35071_0', '114621_0']"
2,"extraneous input '_to' expecting {',', ')'}","['34507_0', '47354_1']"
2,no viable alternative at input 'functionpublic',"['36199_0', '114562_0']"
2,no viable alternative at input 'ContractHello{',"['38645_0', '38645_1']"
2,missing '}' at 'pragma',"['39316_0', '92250_0']"
2,"mismatched input 'last' expecting {'=', ';', NL}","['39241_0', '73729_1']"
2,no viable alternative at input 'browser/ballot.sol:',"['40756_0', '48377_0']"
2,no viable alternative at input '5:',"['40832_1', '43367_1']"
2,mismatched input 'public' expecting '(',"['40874_0', '102348_0']"
2,extraneous input 'ce' expecting ')',"['41157_0', '41188_0']"
2,no viable alternative at input 'attendance}',"['41157_0', '41188_0']"
2,"extraneous input '<' expecting {<EOF>, 'pragma', 'import', 'from', 'abstract', 'contract', 'interface', 'library', 'error', 'using', 'struct', 'modifier', 'function', 'event', 'enum', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', 'callback', Int, Uint, Byte, Fixed, Ufixed, 'leave', 'payable', 'constructor', 'fallback', 'receive', Identifier}","['42168_0', '58984_0']"
2,"extraneous input '(' expecting {'{', 'returns', ';', NL}","['42200_0', '42200_1']"
2,"mismatched input '_dogID' expecting {'(', NL}","['42200_0', '42200_1']"
2,"extraneous input '**' expecting {',', ')'}","['43946_0', '94720_0']"
2,no viable alternative at input 'a)',"['43988_3', '43988_4']"
2,extraneous input '_value' expecting ')',"['47354_1', '89781_0']"
2,"mismatched input '(' expecting {',', ')'}","['47646_1', '140532_0']"
2,"mismatched input 'but' expecting {'=', ';', NL}","['48144_2', '115323_0']"
2,"mismatched input '.' expecting {';', NL}","['48696_0', '80587_0']"
2,no viable alternative at input 'Thisis',"['48723_0', '90964_2']"
2,no viable alternative at input 'constcontract',"['48635_2', '99565_6']"
2,no viable alternative at input 'Hereis',"['51017_0', '50986_0']"
2,no viable alternative at input 'mapping(address=>bool)publicblacklist;\n\n\n\n\nif',"['51388_1', '51388_2']"
2,extraneous input 'address' expecting ')',"['52390_1', '139140_0']"
2,"mismatched input 'memory' expecting {';', NL}","['54521_1', '112509_1']"
2,"mismatched input 'artifacts' expecting {';', NL}","['54855_2', '64042_0']"
2,"mismatched input 'new' expecting {'from', 'error', 'calldata', 'revert', 'callback', 'leave', 'payable', 'constructor', 'receive', Identifier, NL}","['54855_2', '64042_0']"
2,"extraneous input '>' expecting {<EOF>, 'pragma', 'import', 'from', 'abstract', 'contract', 'interface', 'library', 'error', 'using', 'struct', 'modifier', 'function', 'event', 'enum', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', 'callback', Int, Uint, Byte, Fixed, Ufixed, 'leave', 'payable', 'constructor', 'fallback', 'receive', Identifier}","['55067_0', '69564_0']"
2,"extraneous input '>' expecting {<EOF>, 'pragma', 'import', 'from', '}', 'abstract', 'contract', 'interface', 'library', 'error', 'using', 'struct', 'modifier', 'function', 'event', 'enum', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', 'callback', Int, Uint, Byte, Fixed, Ufixed, 'leave', 'payable', 'constructor', 'fallback', 'receive', Identifier}","['55067_0', '127880_0']"
2,"extraneous input '}' expecting {'~', 'from', ',', '(', ')', 'error', '[', 'address', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'leave', 'payable', 'type', 'constructor', 'receive', Identifier, StringLiteralFragment, NL}","['54913_0', '110232_0']"
2,mismatched input '->' expecting '=>',"['55592_0', '112308_1']"
2,no viable alternative at input 'ContractAis',"['55878_1', '109999_0']"
2,"mismatched input '**' expecting {'{', 'returns', ';', NL}","['55900_0', '131384_0']"
2,"extraneous input 'amount' expecting {'=', ';', NL}","['56656_0', '67868_0']"
2,"mismatched input 'display' expecting {'(', NL}","['56656_0', '67868_0']"
2,"mismatched input 'never' expecting {'=', ';', NL}","['56656_0', '67868_0']"
2,"mismatched input 'assert' expecting {'=', ';', NL}","['56656_0', '67868_0']"
2,no viable alternative at input 'struct{',"['58207_1', '58219_1']"
2,"extraneous input '>' expecting {'from', 'error', 'calldata', 'revert', 'callback', 'override', 'constant', 'immutable', 'leave', 'internal', 'payable', 'private', 'public', 'constructor', 'receive', Identifier}","['58984_0', '98201_0']"
2,extraneous input 'amount' expecting ')',"['59290_0', '96570_0']"
